
end_station_name,end_station_id,Trips
San Francisco Caltrain (Townsend at 4th),70,92014
San Francisco Caltrain 2 (330 Townsend),69,58713
Harry Bridges Plaza (Ferry Building),50,50185
Embarcadero at Sansome,60,46197
2nd at Townsend,61,44145
Market at Sansome,77,40956
Steuart at Market,74,39598
Townsend at 7th,65,38545
Temporary Transbay Terminal (Howard at Beale),55,35477
Market at 4th,76,26762
Powell Street BART,39,26746
Market at 10th,67,25910
2nd at South Park,64,23895
Howard at 2nd,63,21615
Embarcadero at Folsom,51,21297
5th at Howard,57,21162
Embarcadero at Bryant,54,19454
Civic Center BART (7th at Market),72,18999
Beale at Market,56,18005
Mechanics Plaza (Market at Battery),75,17724
Embarcadero at Vallejo,48,17620
Spear at Folsom,49,16697
Commercial at Montgomery,45,16393
Davis at Jackson,42,16299
Yerba Buena Center of the Arts (3rd @ Howard),68,16108
South Van Ness at Market,66,15803
Clay at Battery,41,14196
Broadway St at Battery St,82,14095
2nd at Folsom,62,13929
San Jose Diridon Caltrain Station,2,13315
Grant Avenue at Columbus Avenue,73,12846
Powell at Post (Union Square),71,11805
Post at Kearny,47,11201
Mountain View Caltrain Station,28,9231
Washington at Kearny,46,8654
Golden Gate at Polk,59,8617
San Francisco City Hall,58,5269
Santa Clara at Almaden,4,5158
Mountain View City Hall,27,4651
San Pedro Square,6,4469
Paseo de San Antonio,7,3434
MLK Library,11,3133
Japantown,9,3106
Palo Alto Caltrain Station,34,2847
Castro Street and El Camino Real,32,2735
San Antonio Caltrain Station,29,2621
San Antonio Shopping Center,31,2440
San Jose Civic Center,3,2433
Ryland Park,84,2384
University and Emerson,35,2351
Post at Kearney,47,2310
San Salvador at 1st,8,2307
St James Park,13,2147
San Jose City Hall,10,2109
Adobe on Almaden,5,1929
SJSU - San Salvador at 9th,16,1920
Arena Green / SAP Center,14,1908
Cowper at University,37,1888
Redwood City Caltrain Station,22,1870
SJSU 4th at San Carlos,12,1807
Washington at Kearney,46,1772
California Ave Caltrain Station,36,1764
Evelyn Park and Ride,30,1446
Santa Clara County Civic Center,80,1159
Rengstorff Avenue / California Street,33,1123
Park at Olive,38,1073
Stanford in Redwood City,25,917
Redwood City Medical Center,26,464
San Mateo County Center,23,454
Charleston Park/ North Bayshore Area,33,367
Redwood City Public Library,24,344
Mezes Park,83,287
Franklin at Maple,21,264
5th St at Folsom St,90,151
Mezes,83,114
Kaiser Hospital,26,108
S. Market St at Park Ave,89,103
Middlefield Light Rail Station,30,93
Broadway at Main,25,81
Cyril Magnin St at Ellis St,91,68
5th S at E. San Salvador St,88,24
San Jose Government Center,80,23
Sequoia Hospital,21,14
5th St at E. San Salvador St,88,1
