
start_station_name,start_station_id,Trips
San Francisco Caltrain (Townsend at 4th),70,72683
San Francisco Caltrain 2 (330 Townsend),69,56100
Harry Bridges Plaza (Ferry Building),50,49062
Embarcadero at Sansome,60,41137
2nd at Townsend,61,39936
Temporary Transbay Terminal (Howard at Beale),55,39200
Steuart at Market,74,38531
Market at Sansome,77,35142
Townsend at 7th,65,34894
Market at 10th,67,30209
Market at 4th,76,27502
2nd at South Park,64,26218
Powell Street BART,39,25204
2nd at Folsom,62,23404
Beale at Market,56,23082
Grant Avenue at Columbus Avenue,73,23041
Embarcadero at Bryant,54,22525
Embarcadero at Folsom,51,21874
Howard at 2nd,63,20746
Civic Center BART (7th at Market),72,19145
5th at Howard,57,18962
South Van Ness at Market,66,18278
Mechanics Plaza (Market at Battery),75,17837
Spear at Folsom,49,17062
Powell at Post (Union Square),71,16984
Commercial at Montgomery,45,16857
Broadway St at Battery St,82,16005
Embarcadero at Vallejo,48,15302
Davis at Jackson,42,15197
Yerba Buena Center of the Arts (3rd @ Howard),68,14711
Clay at Battery,41,14351
San Jose Diridon Caltrain Station,2,13593
Post at Kearny,47,11308
Golden Gate at Polk,59,10651
Mountain View Caltrain Station,28,9059
Washington at Kearny,46,7136
San Francisco City Hall,58,6730
Santa Clara at Almaden,4,5308
Mountain View City Hall,27,4275
San Pedro Square,6,4132
Palo Alto Caltrain Station,34,3281
Paseo de San Antonio,7,3066
Castro Street and El Camino Real,32,3049
San Jose City Hall,10,2911
Japantown,9,2855
MLK Library,11,2664
Ryland Park,84,2626
San Antonio Caltrain Station,29,2601
Post at Kearney,47,2503
San Antonio Shopping Center,31,2377
St James Park,13,2374
Redwood City Caltrain Station,22,2249
San Salvador at 1st,8,2232
Cowper at University,37,2162
San Jose Civic Center,3,2137
Adobe on Almaden,5,2046
Arena Green / SAP Center,14,2043
University and Emerson,35,2002
SJSU - San Salvador at 9th,16,1954
Evelyn Park and Ride,30,1738
SJSU 4th at San Carlos,12,1533
Washington at Kearney,46,1472
California Ave Caltrain Station,36,1418
Santa Clara County Civic Center,80,1260
Rengstorff Avenue / California Street,33,1171
Park at Olive,38,1026
Stanford in Redwood City,25,864
San Mateo County Center,23,373
Mezes Park,83,348
Charleston Park/ North Bayshore Area,33,343
Redwood City Medical Center,26,316
Redwood City Public Library,24,272
Franklin at Maple,21,226
5th St at Folsom St,90,173
Kaiser Hospital,26,147
Mezes,83,119
S. Market St at Park Ave,89,84
Cyril Magnin St at Ellis St,91,69
Broadway at Main,25,67
Middlefield Light Rail Station,30,66
San Jose Government Center,80,23
5th S at E. San Salvador St,88,19
Sequoia Hospital,21,15
5th St at E. San Salvador St,88,1
