
year,month,subscriber_type,counter
2013,8,Customer,1173
2013,8,Subscriber,929
2013,9,Customer,9476
2013,9,Subscriber,15767
2013,10,Customer,6126
2013,10,Subscriber,22979
2013,11,Customer,4489
2013,11,Subscriber,19730
2013,12,Customer,3235
2013,12,Subscriber,16659
2014,1,Customer,3410
2014,1,Subscriber,21018
2014,2,Customer,2459
2014,2,Subscriber,16565
2014,3,Customer,4009
2014,3,Subscriber,20584
2014,4,Customer,4083
2014,4,Subscriber,22138
2014,5,Customer,5125
2014,5,Subscriber,23377
2014,6,Customer,4832
2014,6,Subscriber,25150
2014,7,Customer,5152
2014,7,Subscriber,26127
2014,8,Customer,5709
2014,8,Subscriber,25506
2014,9,Customer,4226
2014,9,Subscriber,27456
2014,10,Customer,4387
2014,10,Subscriber,29833
2014,11,Customer,2893
2014,11,Subscriber,22623
2014,12,Customer,2291
2014,12,Subscriber,17386
2015,1,Customer,2772
2015,1,Subscriber,25068
2015,2,Customer,2713
2015,2,Subscriber,23688
2015,3,Customer,3874
2015,3,Subscriber,27752
2015,4,Customer,3325
2015,4,Subscriber,28038
2015,5,Customer,3995
2015,5,Subscriber,25545
2015,6,Customer,4039
2015,6,Subscriber,27868
2015,7,Customer,4824
2015,7,Subscriber,27652
2015,8,Customer,4596
2015,8,Subscriber,27308
2015,9,Customer,3608
2015,9,Subscriber,26788
2015,10,Customer,3525
2015,10,Subscriber,27528
2015,11,Customer,1989
2015,11,Subscriber,21367
2015,12,Customer,1270
2015,12,Subscriber,17120
2016,1,Customer,1531
2016,1,Subscriber,17989
2016,2,Customer,2690
2016,2,Subscriber,21870
2016,3,Customer,2275
2016,3,Subscriber,23283
2016,4,Customer,2570
2016,4,Subscriber,24042
2016,5,Customer,3621
2016,5,Subscriber,24701
2016,6,Customer,3276
2016,6,Subscriber,26507
2016,7,Customer,3176
2016,7,Subscriber,22608
2016,8,Customer,4065
2016,8,Subscriber,26290
